time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18:27:44:8700,-10.3240,-7.4558,-2.0300,12.896
18:27:44:8730,-11.5009,-7.6772,-3.0514,14.161
18:27:44:8810,-12.1864,-7.7432,-3.8915,14.954
18:27:44:8920,-12.6406,-7.6465,-4.6481,15.487
18:27:44:9020,-11.8127,-7.6554,-4.7231,14.848
18:27:44:9170,-9.9815,-7.1878,-4.0530,12.951
18:27:44:9210,-8.7772,-6.9388,-3.1596,11.626
18:27:44:9330,-7.5640,-7.3719,-1.7890,10.713
18:27:44:9410,-8.6561,-8.1154,1.1556,11.922
18:27:44:9520,-8.6091,-7.8010,5.5349,12.869
18:27:44:9630,-5.5559,-5.9209,6.2255,10.231
18:27:44:9730,-1.8921,-2.8050,2.2499,4.063
18:27:44:9850,-0.6701,-0.2640,-1.2472,1.440
18:27:44:9940,-1.2099,1.9402,-6.3914,6.788
18:27:45:0070,-1.0687,3.7414,-6.9087,7.929
18:27:45:0120,6.6174,6.2194,-0.7027,9.108
18:27:45:0210,15.5327,9.0534,5.8364,18.902
18:27:45:0350,25.0601,13.7247,13.4224,31.568
18:27:45:0410,29.0153,17.0467,16.4427,37.455
18:27:45:0530,29.3044,20.2322,13.3667,38.036
18:27:45:0600,26.6424,21.9672,7.8341,35.408
18:27:45:0730,22.8965,22.9602,1.2552,32.450
18:27:45:0820,20.5034,23.7762,-3.5704,31.598
18:27:45:0920,18.8721,23.9366,-5.0004,30.889
18:27:45:1010,17.4784,23.2706,-3.7123,29.339
18:27:45:1140,14.2558,21.5460,-0.9423,25.852
18:27:45:1220,11.7424,19.6035,1.5913,22.907
18:27:45:1320,7.6009,17.4611,4.4817,19.564
18:27:45:1419,4.2410,15.4528,6.4964,17.291
18:27:45:1520,1.1453,13.3229,8.7761,15.995
18:27:45:1610,-1.6361,11.8669,9.5639,15.329
18:27:45:1729,-3.7909,11.4775,10.0181,15.699
18:27:45:1810,-4.2783,11.7149,9.9095,15.929
18:27:45:1930,-4.4345,12.6070,10.0034,16.693
18:27:45:2060,-3.8707,13.4869,10.5245,17.540
18:27:45:2120,-2.7196,15.4741,12.0481,19.799
18:27:45:2220,-2.7826,17.0392,12.5252,21.330
18:27:45:2330,-5.2823,17.6470,12.7639,22.411
18:27:45:2420,-7.4674,17.7272,14.1084,23.855
18:27:45:2510,-7.9732,18.3868,16.8418,26.178
18:27:45:2620,-7.2916,19.2995,19.7532,28.563
18:27:45:2720,-5.2801,20.3704,20.1608,29.143
18:27:45:2819,-5.3352,20.2469,20.1885,29.086
18:27:45:2930,2.4647,23.2001,15.3595,27.933
18:27:45:3020,4.6422,23.6412,12.1860,26.999
18:27:45:3220,6.1471,23.3493,8.7492,25.681
18:27:45:3230,6.6213,22.9043,7.3518,24.950
18:27:45:3320,6.5449,22.3184,7.7411,24.513
18:27:45:3420,5.4501,21.9721,9.1094,24.402
18:27:45:3530,5.2120,22.1827,11.4714,25.511
18:27:45:3620,5.8102,22.7413,13.1294,26.894
18:27:45:3720,7.9225,23.3113,15.0574,28.860
18:27:45:3820,11.3258,22.7165,15.9243,29.965
18:27:45:3920,15.2221,21.2469,16.5441,30.933
18:27:45:4010,18.1325,19.6819,15.4880,30.920
18:27:45:4160,19.3618,17.6352,12.3980,28.976
18:27:45:4290,18.3872,15.7014,10.0385,26.180
18:27:45:4420,15.9503,12.6554,8.4627,22.050
18:27:45:4440,13.6598,10.2292,8.2170,18.941
18:27:45:4540,10.5736,7.2904,8.1396,15.205
18:27:45:4620,7.5837,5.3544,7.7341,12.083
18:27:45:4730,5.2484,3.8535,6.9534,9.526
18:27:45:4840,3.4870,2.7055,6.5318,7.883
18:27:45:4920,1.9805,1.4670,6.6166,7.061
18:27:45:5040,0.6407,0.1508,6.7981,6.830
18:27:45:5120,-0.3936,-1.3190,6.4913,6.636
18:27:45:5210,-1.3407,-2.3125,5.6198,6.223
18:27:45:5330,-2.6554,-3.3788,4.1053,5.943
18:27:45:5410,-3.8326,-4.1752,3.0401,6.431
18:27:45:5560,-5.3060,-5.2441,2.3107,7.810
18:27:45:5610,-6.7192,-6.1379,2.1423,9.349
18:27:45:5719,-7.9378,-7.0203,2.0974,10.802
18:27:45:5850,-8.7714,-7.6184,1.8718,11.768
18:27:45:5930,-9.4901,-8.0940,1.0206,12.515
18:27:45:6040,-10.0067,-8.2369,0.0641,12.961
18:27:45:6120,-10.6297,-8.0883,-1.4522,13.436
18:27:45:6200,-11.1920,-8.1235,-2.5867,14.069
18:27:45:6330,-11.2097,-8.0884,-2.7395,14.092
18:27:45:6420,-11.6623,-7.7438,-4.4406,14.687
18:27:45:6530,-11.1079,-7.4480,-4.7128,14.180
18:27:45:6610,-10.0012,-7.0762,-3.9125,12.861
18:27:45:6710,-8.0289,-6.5731,-2.1886,10.605
18:27:45:6820,-6.2840,-5.9878,-0.3422,8.687
18:27:45:6929,-4.3532,-5.0108,1.0835,6.726
18:27:45:7020,-2.0016,-3.8284,1.8601,4.703
18:27:45:7130,1.0756,-0.8492,1.9282,2.366
18:27:45:7240,2.9243,1.9165,-0.3236,3.511
18:27:45:7330,2.9912,4.1187,-4.9936,7.131
18:27:45:7410,2.0184,5.2816,-7.7489,9.592
18:27:45:7520,3.6400,6.6702,-6.1007,9.745
18:27:45:7620,9.9407,8.4929,-0.1976,13.076
18:27:45:7780,21.8240,13.2202,10.7755,27.698
18:27:45:7900,31.7206,18.7753,19.6078,41.751
18:27:45:7920,35.6698,23.0939,21.8726,47.792
18:27:45:8010,32.1925,25.0224,15.2902,43.546
18:27:45:8129,24.2439,25.0252,6.5130,35.446
18:27:45:8240,19.0897,24.0553,2.5503,30.815
18:27:45:8380,15.0467,22.4180,1.7468,27.056
18:27:45:8400,13.4285,21.2508,3.4344,25.372
18:27:45:8510,11.2085,19.3459,5.4145,23.005
18:27:45:8620,9.3370,18.1859,5.9433,21.289
18:27:45:8720,6.8069,17.1465,5.3337,19.204
18:27:45:8820,4.3399,16.3965,4.3400,17.508
18:27:45:8930,1.7248,15.5089,3.5205,15.997
18:27:45:9010,-0.0180,15.0917,3.8674,15.579
18:27:45:9120,-1.6611,14.3128,5.5161,15.429
18:27:45:9290,-2.6427,14.0041,7.7344,16.215
18:27:45:9320,-4.0202,14.5439,10.5391,18.405
18:27:45:9410,-4.9452,14.7309,12.7007,20.069
18:27:45:9530,-6.0033,15.3286,14.7678,22.115
18:27:45:9610,-7.1092,15.9319,15.1856,23.129
18:27:45:9710,-8.3949,16.4727,14.4941,23.493
18:27:45:9820,-9.8234,16.7586,13.1980,23.485
18:27:45:9930,-10.8448,16.9355,12.2262,23.535
18:27:46:0010,-12.0096,16.9745,12.1522,24.084
18:27:46:0140,-11.7599,16.7571,12.7192,24.101
18:27:46:0300,-10.7059,17.1006,13.4767,24.263
18:27:46:0320,-7.7007,18.1695,13.6106,23.973
18:27:46:0429,-5.2052,18.8634,13.2999,23.660
18:27:46:0520,-0.6959,19.6336,12.5319,23.303
18:27:46:0620,2.2963,19.9376,11.4477,23.105
18:27:46:0740,5.2501,19.8501,9.4676,22.610
18:27:46:0820,6.3336,20.0110,9.1532,22.898
18:27:46:0930,6.1008,20.3658,9.2868,23.200
18:27:46:1019,4.9085,20.3229,9.5484,22.985
18:27:46:1130,4.3140,21.1013,10.0845,23.782
18:27:46:1210,4.9791,22.5709,11.6001,25.861
18:27:46:1409,8.4344,23.7144,12.9240,28.294
18:27:46:1419,11.2943,23.4145,13.4788,29.283
18:27:46:1520,13.5480,21.5984,13.3507,28.780
18:27:46:1630,13.6376,19.7621,12.0298,26.856
18:27:46:1710,12.3085,17.0849,9.3844,23.053
18:27:46:1810,11.4220,14.4757,7.6869,19.977
18:27:46:1940,11.1187,12.2115,6.0051,17.573
18:27:46:2020,10.4627,10.8724,4.7388,15.816
18:27:46:2120,8.7177,9.1906,4.2679,13.367
18:27:46:2220,6.2042,7.1954,4.5805,10.547
18:27:46:2320,3.0319,4.8471,5.3044,7.799
18:27:46:2410,0.7554,3.0375,6.1278,6.881
18:27:46:2560,-1.4842,0.7204,6.5539,6.758
18:27:46:2610,-3.3563,-0.9637,6.1437,7.067
18:27:46:2760,-3.4496,-1.0083,5.9415,6.944
18:27:46:2819,-7.5451,-4.2682,3.9449,9.524
18:27:46:2920,-8.8249,-5.3206,2.8642,10.695
18:27:46:3020,-9.2407,-5.9909,2.1537,11.221
18:27:46:3130,-9.1436,-6.4429,1.5542,11.293
18:27:46:3210,-8.9065,-6.6626,1.0013,11.168
18:27:46:3350,-8.7994,-6.7774,0.4069,11.114
18:27:46:3410,-9.1186,-6.8134,-0.0441,11.383
18:27:46:3600,-10.0429,-6.9001,-0.6665,12.203
18:27:46:3610,-11.0824,-7.2184,-0.9337,13.259
18:27:46:3720,-12.6042,-7.7272,-1.1940,14.832
18:27:46:3820,-13.1336,-8.1803,-1.1743,15.517
18:27:46:3930,-12.6604,-8.2832,-0.4298,15.135
18:27:46:4020,-11.1013,-8.1053,0.9792,13.780
18:27:46:4120,-8.5186,-7.7299,3.2021,11.940
18:27:46:4220,-5.2483,-6.4173,5.7310,10.078
18:27:46:4410,-1.3237,-4.4484,6.9184,8.331
18:27:46:4420,0.8892,-2.5667,6.1335,6.708
18:27:46:4520,3.7139,-0.4607,1.5648,4.056
18:27:46:4610,4.2179,1.0802,-3.9009,5.846
18:27:46:4720,2.9781,2.9062,-9.7326,10.585
18:27:46:4810,3.5571,4.6437,-10.1087,11.679
18:27:46:4930,8.5751,5.3730,-2.6777,10.468
18:27:46:5110,8.6650,5.5219,-2.5846,10.595
18:27:46:5130,23.5540,11.3408,20.5666,33.262
18:27:46:5210,26.8716,14.5624,23.1811,38.360
18:27:46:5380,25.7249,18.4338,16.6987,35.783
18:27:46:5420,22.6460,21.2612,8.3051,32.154
18:27:46:5530,20.9212,24.6271,-2.6529,32.423
18:27:46:5600,20.3615,26.6333,-5.7355,34.012
18:27:46:5709,19.6797,27.4451,-2.2715,33.848
18:27:46:5830,17.9434,26.8764,3.0478,32.459
18:27:46:5920,12.7302,25.1820,7.8800,29.297
18:27:46:6020,7.7431,23.5936,10.1503,26.826
18:27:46:6140,3.0979,21.9736,10.7069,24.639
18:27:46:6230,0.2802,20.8097,10.4952,23.308
18:27:46:6390,-2.2382,19.6162,9.7144,22.004
18:27:46:6420,-3.4433,18.7013,9.3260,21.179
18:27:46:6510,-3.4524,18.1111,9.0901,20.556
18:27:46:6610,-3.1975,18.1445,8.8537,20.441
18:27:46:6730,-3.5903,17.7519,7.6008,19.642
18:27:46:6820,-4.0853,17.2178,7.6069,19.262
18:27:46:6919,-5.5914,16.6066,7.5281,19.071
18:27:46:7050,-7.3919,16.0605,7.2608,19.113
18:27:46:7120,-9.1413,15.2486,7.6588,19.358
18:27:46:7260,-10.8747,14.7521,8.9931,20.415
18:27:46:7330,-11.8170,14.4455,10.4817,21.405
18:27:46:7420,-11.1742,14.7352,11.4713,21.762
18:27:46:7520,-9.6102,15.7111,12.4335,22.221
18:27:46:7630,-7.7831,16.3685,12.4137,21.968
18:27:46:7720,-5.2416,16.9385,11.6814,21.233
18:27:46:7830,-2.9244,17.5765,10.4686,20.666
18:27:46:7930,0.6152,18.8477,8.8027,20.811
18:27:46:8030,2.5334,19.1941,7.6659,20.823
18:27:46:8120,3.6026,19.2148,6.9686,20.754
18:27:46:8290,4.0410,19.4275,7.5477,21.230
18:27:46:8330,4.0497,20.2252,8.3867,22.266
18:27:46:8410,4.5478,21.2471,8.5446,23.348
18:27:46:8520,5.0699,23.1259,8.1180,25.028
18:27:46:8610,6.0706,24.4777,8.0977,26.487
18:27:46:8720,9.3864,25.3609,9.1581,28.551
18:27:46:8820,12.1445,24.7437,10.1919,29.387
18:27:46:8920,14.9846,22.8958,11.2473,29.585
18:27:46:9050,15.9104,20.4171,10.9194,28.093
18:27:46:9130,15.0010,17.2510,8.8329,24.508
18:27:46:9270,13.3882,14.6227,6.9606,21.012
18:27:46:9320,10.8441,11.6732,4.7745,16.633
18:27:46:9420,7.8430,9.1569,3.1537,12.462
18:27:46:9510,4.4328,6.4810,2.5044,8.242
18:27:46:9620,2.2743,4.9115,3.0190,6.198
18:27:46:9780,0.6365,3.3297,4.8072,5.882
18:27:46:9810,0.2358,2.1226,6.4214,6.767
18:27:46:9930,-0.2562,0.4030,8.1011,8.115
18:27:47:0010,-1.6662,-1.5711,7.8606,8.187
18:27:47:0110,-4.0015,-3.6004,6.7774,8.655
18:27:47:0230,-6.3077,-5.1769,5.1864,9.669
18:27:47:0330,-8.4870,-6.2177,3.3631,11.045
18:27:47:0410,-9.5359,-6.8026,2.2027,11.919
18:27:47:0560,-10.0056,-7.1702,0.8979,12.342
18:27:47:0600,-9.7933,-7.1008,0.1918,12.098
18:27:47:0720,-9.3322,-6.8509,-0.4878,11.587
18:27:47:0830,-9.2726,-6.7479,-0.9710,11.509
18:27:47:0920,-9.7574,-6.5150,-1.5937,11.840
18:27:47:1060,-10.5503,-6.2168,-2.2675,12.454
18:27:47:1120,-11.4904,-6.1613,-2.5073,13.277
18:27:47:1280,-11.9661,-6.1695,-2.5085,13.695
18:27:47:1320,-11.5674,-6.1744,-2.4307,13.336
18:27:47:1409,-10.1596,-6.0204,-1.8330,11.951
18:27:47:1520,-7.7724,-5.4664,-0.5651,9.519
18:27:47:1610,-5.6168,-4.9228,0.3635,7.478
18:27:47:1719,-3.7100,-4.2767,1.3798,5.827
18:27:47:1810,-2.5645,-3.7960,2.0580,5.022
18:27:47:1930,-0.4415,-2.3020,2.0727,3.129
18:27:47:2010,1.1720,0.1039,0.7853,1.415
18:27:47:2130,1.3000,2.2492,-1.4388,2.970
18:27:47:2210,0.2375,4.0583,-3.5320,5.385
18:27:47:2320,2.0825,6.9234,-2.5082,7.652
18:27:47:2420,8.6592,10.2473,2.3883,13.627
18:27:47:2540,17.8162,14.1438,10.9408,25.242
18:27:47:2610,23.6392,18.8169,16.9873,34.662
18:27:47:2730,27.1301,24.1404,19.2722,41.112
18:27:47:2810,26.1437,26.5396,15.4779,40.341
18:27:47:2920,21.6530,27.7245,8.6576,36.228
18:27:47:3050,18.3439,27.6636,3.4407,33.371
18:27:47:3120,15.3927,27.1419,-1.4609,31.237
18:27:47:3280,13.7653,26.5082,-2.6208,29.984
18:27:47:3320,12.3091,24.8618,-0.8848,27.756
18:27:47:3400,10.5040,22.8075,1.2687,25.142
18:27:47:3520,7.9759,19.8107,3.7779,21.688
18:27:47:3620,5.0492,17.6370,5.2707,19.088
18:27:47:3710,1.3874,15.3094,6.6728,16.758
18:27:47:3820,-1.2027,13.8373,7.2228,15.655
18:27:47:3930,-3.8455,12.4487,7.7372,15.153
18:27:47:4050,-5.4696,11.9045,8.1883,15.449
18:27:47:4110,-5.2007,11.9201,8.5097,15.542
18:27:47:4250,-4.4249,13.1975,8.7827,16.459
18:27:47:4320,-4.5840,13.7633,9.0872,17.118
18:27:47:4410,-4.8831,13.8118,9.7173,17.579
18:27:47:4520,-5.8243,14.0358,11.0030,18.761
18:27:47:4610,-6.9863,14.2094,12.4057,20.115
18:27:47:4730,-8.0269,14.4926,13.7712,21.543
18:27:47:4820,-8.4636,14.7265,14.6351,22.421
18:27:47:4920,-8.3032,15.2374,15.4838,23.257
18:27:47:5070,-7.8528,15.6979,15.3189,23.297
18:27:47:5220,-5.5494,16.7850,14.4751,22.849
18:27:47:5250,-3.3735,18.1898,13.5164,22.912
18:27:47:5320,-1.0825,18.6936,11.7494,22.106
18:27:47:5410,1.6945,18.5699,10.9465,21.623
18:27:47:5520,5.1421,18.8336,11.2665,22.541
18:27:47:5629,6.6786,18.7495,11.0645,22.772
18:27:47:5729,6.0619,18.7680,10.1488,22.181
18:27:47:5810,4.6076,19.2026,9.1920,21.782
18:27:47:5920,3.4092,20.0977,7.8652,21.850
18:27:47:6060,3.1606,20.9026,6.9785,22.262
18:27:47:6140,3.9324,21.7008,7.0344,23.149
18:27:47:6380,5.6839,21.6925,8.4673,23.970
18:27:47:6390,8.3558,20.8435,10.4457,24.767
18:27:47:6410,10.4442,19.7433,11.0856,24.935
18:27:47:6520,11.1924,18.0904,10.6812,23.804
18:27:47:6610,10.5998,16.1285,9.5401,21.529
18:27:47:6720,10.5457,14.4285,7.6881,19.455
18:27:47:6810,10.4172,13.3967,6.4593,18.158
18:27:47:6929,9.6268,11.8947,5.2053,16.163
18:27:47:7020,8.2961,10.7186,4.3181,14.225
18:27:47:7180,6.0598,9.1304,4.0988,11.700
18:27:47:7230,4.0397,7.4663,4.6765,9.692
18:27:47:7320,2.0931,5.3658,5.5365,7.989
18:27:47:7460,0.2464,3.2356,6.0549,6.870
18:27:47:7650,-1.7610,0.8542,6.2278,6.528
18:27:47:7660,-3.1134,-0.8452,6.4870,7.245
18:27:47:7720,-4.6248,-2.8349,6.2857,8.303
18:27:47:7830,-5.3389,-4.0359,5.8611,8.896
18:27:47:7910,-5.7458,-5.1874,4.8988,9.161
18:27:47:8020,-5.7433,-5.9258,3.7387,9.060
18:27:47:8139,-6.1486,-6.7342,2.1855,9.377
18:27:47:8220,-6.8484,-6.9666,0.7361,9.797
18:27:47:8320,-7.4972,-7.1319,-0.6187,10.366
18:27:47:8440,-8.5270,-7.3484,-1.8454,11.407
18:27:47:8610,-9.9648,-7.6689,-2.4599,12.812
18:27:47:8620,-11.7882,-8.1965,-2.7142,14.612
18:27:47:8730,-13.3775,-9.0036,-2.7348,16.355
18:27:47:8820,-13.9513,-9.4994,-2.5087,17.064
18:27:47:8920,-12.6927,-9.2772,-1.5991,15.803
18:27:47:9020,-11.3093,-8.6109,0.0690,14.215
18:27:47:9120,-8.3733,-7.6058,1.9236,11.474
18:27:47:9240,-5.8888,-6.3179,2.7616,9.068
18:27:47:9330,-2.2632,-4.3747,3.0633,5.800
18:27:47:9500,0.6858,-1.8134,2.3757,3.066
18:27:47:9680,2.6324,0.7274,-0.8003,2.846
18:27:47:9680,2.5259,2.9279,-6.2602,7.358
18:27:47:9710,1.3843,5.1733,-10.0258,11.366
18:27:47:9810,4.2521,7.1594,-6.8177,10.762
18:27:47:9930,13.4063,10.2440,3.7589,17.286
18:27:48:0100,20.9930,13.2915,12.3191,27.733
18:27:48:0130,28.2144,17.3439,19.9890,38.684
18:27:48:0230,29.8303,20.7391,19.6553,41.307
18:27:48:0320,25.8462,23.6092,11.7997,36.941
18:27:48:0410,20.3233,24.6042,3.9251,32.153
18:27:48:0550,15.5873,24.5320,-1.2832,29.093
18:27:48:0620,13.5763,24.3935,-2.0558,27.993
18:27:48:0720,12.6220,23.9376,-0.2755,27.063
18:27:48:0810,11.6348,22.9747,1.8088,25.816
18:27:48:0920,9.2309,21.2220,3.2875,23.375
18:27:48:1040,6.8035,19.7240,3.9128,21.228
18:27:48:1130,3.6888,17.8877,4.3215,18.768
18:27:48:1220,1.3508,16.5636,4.8463,17.311
18:27:48:1320,-0.9849,14.8981,6.3148,16.211
18:27:48:1460,-2.6974,13.9779,7.6405,16.157
18:27:48:1530,-4.1446,13.6363,8.7151,16.706
18:27:48:1610,-5.2561,13.9299,9.2415,17.524
18:27:48:1729,-6.3807,14.7693,9.5134,18.691
18:27:48:1820,-7.0643,15.4416,9.6109,19.512
18:27:48:1920,-8.1381,15.9948,10.1971,20.641
18:27:48:2050,-9.0846,16.2267,10.8946,21.553
18:27:48:2120,-9.8769,16.5439,12.3279,22.874
18:27:48:2220,-10.3199,16.7707,13.6293,23.948
18:27:48:2340,-10.9153,16.4858,15.1733,24.923
18:27:48:2470,-10.3745,16.4642,16.0922,25.252
18:27:48:2530,-7.9854,17.5871,16.4192,25.351
18:27:48:2610,-4.9277,19.2379,16.4198,25.768
18:27:48:2720,-0.3111,21.3307,15.7074,26.492
18:27:48:2819,4.7893,23.2312,13.5969,27.340
18:27:48:2920,10.0526,24.7035,10.9332,28.824
18:27:48:3020,11.3238,24.7240,8.7414,28.564
18:27:48:3120,10.1561,23.7654,6.9982,26.775
18:27:48:3230,7.9499,22.8258,7.6703,25.358
18:27:48:3320,5.4494,21.9672,10.1226,24.794
18:27:48:3479,5.7007,22.1512,12.3152,25.978
18:27:48:3530,6.8639,22.5705,13.3580,27.110
18:27:48:3610,8.8453,21.9560,13.0784,27.044
18:27:48:3720,11.0276,20.4436,12.3029,26.285
18:27:48:3810,13.3014,18.9041,11.1729,25.673
18:27:48:3920,15.4738,17.2128,9.6862,25.091
18:27:48:4010,15.9255,15.3388,7.9664,23.502
18:27:48:4140,14.5413,12.7555,5.1200,20.009
18:27:48:4230,12.7118,11.0666,2.9804,17.116
18:27:48:4320,9.6608,9.2326,1.6010,13.459
18:27:48:4470,7.0224,7.5252,1.4543,10.395
18:27:48:4520,4.4017,5.7211,2.1193,7.523
18:27:48:4620,1.8123,3.7787,3.4658,5.438
18:27:48:4800,-0.6258,1.6829,5.1007,5.408
18:27:48:4810,-2.2799,0.1389,5.8172,6.250
18:27:48:4920,-4.2204,-1.8495,6.2730,7.784
18:27:48:5030,-5.7277,-3.1571,6.3743,9.133
18:27:48:5120,-6.9240,-4.3598,5.7209,9.984
18:27:48:5250,-7.1648,-5.0510,4.1857,9.714
18:27:48:5330,-7.4974,-5.5646,2.0310,9.555
18:27:48:5490,-7.6771,-6.0348,0.4569,9.776
18:27:48:5520,-8.2520,-6.5676,-0.3884,10.554
18:27:48:5610,-9.0544,-7.1284,-0.7654,11.549
18:27:48:5780,-10.1384,-7.7508,-1.4130,12.840
18:27:48:5810,-10.1763,-7.8024,-1.5615,12.918
18:27:48:5920,-12.8324,-8.7135,-2.8632,15.773
18:27:48:6020,-13.1725,-9.2060,-3.2634,16.399
18:27:48:6120,-13.1780,-9.1889,-3.0630,16.355
18:27:48:6260,-12.3410,-8.9996,-2.0343,15.409
18:27:48:6320,-9.3087,-8.5658,0.2134,12.652
18:27:48:6500,-6.5738,-7.4787,1.5209,10.073
18:27:48:6550,-2.7536,-6.0060,1.7710,6.840
18:27:48:6620,-1.6628,-4.8974,1.3610,5.348
18:27:48:6740,-1.7665,-3.9314,-0.7003,4.367
18:27:48:6830,-2.1339,-3.1312,-3.8459,5.399
18:27:48:6949,-2.2960,-2.3657,-7.3512,8.057
18:27:48:7010,-1.6886,-0.7627,-8.0975,8.307
18:27:48:7130,1.1950,2.1016,-5.4218,5.936
18:27:48:7240,6.9339,4.6747,0.1841,8.365
18:27:48:7320,18.2789,9.0808,10.5394,22.971
18:27:48:7480,26.8153,14.1095,18.2320,35.363
18:27:48:7520,32.4525,20.0717,22.4670,44.281
18:27:48:7630,30.6240,23.3241,18.4561,42.690
18:27:48:7740,25.1238,24.9677,10.0443,36.817
18:27:48:7800,21.8008,24.9229,3.4187,33.288
18:27:48:7920,18.1925,24.9565,-2.8315,31.013
18:27:48:8020,15.3859,24.4346,-4.5629,29.233
18:27:48:8110,11.5427,22.4919,-3.7282,25.554
18:27:48:8240,8.7412,20.5728,-1.5771,22.408
18:27:48:8320,5.2778,18.2816,0.9519,19.052
18:27:48:8460,2.9322,16.9169,2.6562,17.373
18:27:48:8520,-0.0531,15.8278,4.6799,16.505
18:27:48:8620,0.0971,15.7547,4.9520,16.515
18:27:48:8710,-2.3099,15.2374,8.0404,17.383
18:27:48:8810,-1.2219,16.8113,9.8341,19.515
18:27:48:8930,-1.5914,18.1322,10.9994,21.267
18:27:48:9020,-2.5637,18.4499,11.0753,21.671
18:27:48:9130,-3.9185,18.8921,11.1369,22.278
18:27:48:9240,-4.9300,19.1993,11.0814,22.709
18:27:48:9320,-6.5839,19.4069,10.4307,22.995
18:27:48:9450,-7.7946,19.3580,10.0082,23.144
18:27:48:9520,-8.5418,19.4428,9.9237,23.441
18:27:48:9610,-8.4680,19.2277,10.3983,23.442
18:27:48:9720,-7.4877,18.7771,12.0988,23.559
18:27:48:9820,-5.4331,18.6081,14.7587,24.364
18:27:48:9930,-2.7296,18.5944,16.8191,25.221
18:27:49:0020,0.0373,18.3622,17.2449,25.190
18:27:49:0120,2.7330,18.0329,14.1168,23.064
18:27:49:0250,2.5861,18.0248,14.0203,22.982
18:27:49:0320,4.3335,17.0874,6.8699,18.920
18:27:49:0470,3.9992,16.9725,4.1752,17.930
18:27:49:0520,4.7848,17.5916,3.0313,18.481
18:27:49:0610,6.2530,19.1826,4.5578,20.684
18:27:49:0740,6.5712,20.2796,7.7324,22.677
18:27:49:0810,8.2542,21.6667,10.8756,25.610
18:27:49:0920,12.4967,23.6292,14.9742,30.639
18:27:49:1019,15.8061,23.0881,18.4189,33.499
18:27:49:1120,18.2089,21.2338,19.3926,34.037
18:27:49:1250,18.1432,19.2716,17.1886,31.560
18:27:49:1370,15.5562,16.6016,12.3642,25.894
18:27:49:1500,13.3624,14.7547,8.7633,21.750
18:27:49:1520,10.3833,12.6679,5.5704,17.301
18:27:49:1610,8.0372,10.9884,5.3922,14.643
18:27:49:1719,6.2430,9.5561,6.0929,12.939
18:27:49:1810,4.7299,8.3102,5.6047,11.083
18:27:49:1930,3.4457,7.1562,4.9068,9.336
18:27:49:2020,2.4586,5.9531,4.9644,8.132
18:27:49:2270,1.4254,4.1367,5.3743,6.930
18:27:49:2280,0.4938,2.6706,5.0690,5.751
18:27:49:2320,-1.2471,0.6334,3.8862,4.130
18:27:49:2430,-3.1512,-1.0826,2.7152,4.298
18:27:49:2530,-5.6893,-2.8026,1.0384,6.427
18:27:49:2680,-7.2714,-4.1534,-0.1516,8.375
18:27:49:2720,-8.0574,-5.2718,-0.8088,9.663
18:27:49:2800,-8.1711,-6.1503,-1.6429,10.358
18:27:49:2940,-8.0861,-6.4778,-2.6723,10.700
18:27:49:3010,-8.4915,-6.5550,-3.2914,11.221
18:27:49:3130,-9.2620,-6.5979,-3.5806,11.922
18:27:49:3210,-9.9117,-6.5372,-3.8916,12.495
18:27:49:3320,-10.9674,-6.8437,-3.7184,13.452
18:27:49:3410,-11.1202,-7.1158,-3.1757,13.579
18:27:49:3520,-11.2008,-7.4433,-1.7827,13.566
18:27:49:3610,-11.1072,-8.1836,-0.1202,13.797
18:27:49:3720,-10.9435,-8.4033,2.4553,14.014
18:27:49:3810,-8.9935,-8.2099,4.0976,12.848
18:27:49:3920,-7.1128,-7.4137,4.6552,11.279
18:27:49:4030,-6.5242,-6.3486,3.1350,9.628
18:27:49:4130,-5.6413,-5.6451,-0.3388,7.988
18:27:49:4350,-4.6009,-4.4539,-3.0841,7.108
18:27:49:4360,-2.6511,-2.7296,-7.2360,8.175
18:27:49:4410,-0.3003,-1.3921,-9.4741,9.581
18:27:49:4520,6.1645,2.7961,-8.1769,10.615
18:27:49:4610,11.0087,5.8940,-3.6893,13.021
18:27:49:4790,19.4969,9.0036,6.9247,22.564
18:27:49:4820,26.5784,13.1799,16.6036,33.997
18:27:49:4960,27.7062,17.4419,19.9100,38.318
18:27:49:5000,24.5462,20.0247,15.4608,35.250
18:27:49:5130,19.0539,21.6319,7.1541,29.701
18:27:49:5260,17.1792,22.6640,3.3057,28.631
18:27:49:5320,15.6195,22.8007,1.5226,27.680
18:27:49:5470,14.6078,22.0816,2.7530,26.619
18:27:49:5530,12.0576,20.8281,5.5609,24.701
18:27:49:5600,11.1511,20.3028,7.9104,24.477
18:27:49:5719,10.5700,20.5345,10.1716,25.236
18:27:49:5810,9.5296,20.9236,10.3297,25.205
18:27:49:5920,8.9073,22.2736,9.4880,25.797
18:27:49:6010,6.3609,22.8023,8.0010,24.988
18:27:49:6130,3.8212,22.7546,7.0471,24.125
18:27:49:6210,3.0965,22.9157,7.3474,24.263
18:27:49:6320,1.9517,22.7496,9.5881,24.765
18:27:49:6500,1.1149,22.5202,11.5347,25.327
18:27:49:6520,0.0988,21.9412,13.8780,25.962
18:27:49:6610,-1.4909,21.0943,14.8893,25.863
