time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18:26:13:2520,-5.0305,-5.6394,-0.3464,7.565
18:26:13:2610,-5.1996,-6.3293,-0.5029,8.207
18:26:13:2710,-5.6255,-7.1419,-0.5957,9.111
18:26:13:2810,-5.5631,-7.7115,-0.3866,9.517
18:26:13:2940,-4.6257,-7.8602,-0.2537,9.124
18:26:13:3010,-4.0885,-7.5891,-0.2585,8.624
18:26:13:3130,-2.9543,-6.8840,0.0298,7.491
18:26:13:3210,-1.9958,-6.3914,0.1759,6.698
18:26:13:3330,-1.3608,-6.2424,0.5597,6.413
18:26:13:3430,-1.3975,-6.6549,1.6723,7.003
18:26:13:3530,-2.0290,-7.1582,3.7587,8.336
18:26:13:3610,-2.4862,-8.0401,4.9445,9.761
18:26:13:3730,-3.5331,-8.8871,4.8585,10.727
18:26:13:3870,-4.4033,-9.3621,3.9029,11.058
18:26:13:3960,-5.6624,-9.8084,0.7912,11.353
18:26:13:4010,-5.5958,-9.2881,-2.6280,11.157
18:26:13:4140,-3.5103,-7.0990,-5.9832,9.926
18:26:13:4210,0.6481,-4.8502,-5.2879,7.205
18:26:13:4370,7.6279,-2.6445,-0.0425,8.073
18:26:13:4430,12.2795,-1.5222,4.1832,13.062
18:26:13:4530,13.9327,-1.9612,5.8209,15.227
18:26:13:4620,10.0691,-4.0099,3.0689,11.264
18:26:13:4730,4.5173,-5.8629,-1.4248,7.537
18:26:13:4810,1.0117,-7.0781,-5.0415,8.749
18:26:13:4940,0.8136,-6.9429,-5.5591,8.931
18:26:13:5010,2.4104,-5.9249,-3.4180,7.252
18:26:13:5130,5.8741,-4.4012,0.3371,7.348
18:26:13:5230,9.4221,-2.8867,2.2385,10.105
18:26:13:5330,12.6124,-0.2188,3.2186,13.018
18:26:13:5440,10.7998,0.6348,2.1509,11.030
18:26:13:5530,6.8822,-0.2604,0.2299,6.891
18:26:13:5610,5.1177,-1.1832,0.3172,5.262
18:26:13:5719,3.9047,-1.4899,1.2772,4.370
18:26:13:5810,2.2619,-1.5545,1.9603,3.373
18:26:13:5930,2.1698,-1.4008,2.6884,3.728
18:26:13:6030,1.8029,-0.4315,1.8263,2.602
18:26:13:6130,-0.8161,-0.6679,-0.3403,1.108
18:26:13:6210,-2.9765,-1.1603,-1.3002,3.449
18:26:13:6340,-4.3366,-1.3794,-1.2588,4.722
18:26:13:6440,-4.9092,-1.4167,-1.0713,5.221
18:26:13:6530,-5.8530,-1.5931,-1.0591,6.158
18:26:13:6610,-6.0933,-1.5209,-0.9541,6.352
18:26:13:6730,-5.3358,-0.2634,-1.1397,5.462
18:26:13:6820,-4.0537,1.0925,-0.9997,4.316
18:26:13:6919,-2.4792,2.3078,-0.0240,3.387
18:26:13:7030,-1.1365,3.9971,0.6459,4.205
18:26:13:7120,-0.1167,5.9403,0.8356,6.000
18:26:13:7210,0.5830,7.3713,1.0256,7.465
18:26:13:7380,0.7611,10.0033,1.2529,10.110
18:26:13:7460,0.5737,12.0232,0.9830,12.077
18:26:13:7520,0.8645,15.2554,0.3880,15.285
18:26:13:7610,3.4614,17.3873,-0.0971,17.729
18:26:13:7730,8.8154,19.1413,0.0804,21.074
18:26:13:7820,13.6817,20.7002,0.8791,24.829
18:26:13:7930,17.2826,21.2469,0.7951,27.400
18:26:13:8010,17.4586,20.2414,-0.4977,26.735
18:26:13:8129,13.7225,17.0795,-2.3566,22.036
18:26:13:8220,9.6764,13.9409,-2.5911,17.167
18:26:13:8330,4.3810,9.9629,-0.2485,10.886
18:26:13:8430,2.1523,7.5820,2.8194,8.371
18:26:13:8530,0.9683,5.5085,6.5677,8.626
18:26:13:8620,1.1432,4.6727,7.5282,8.934
18:26:13:8730,1.9137,4.1810,6.0000,7.559
18:26:13:8840,2.1532,3.4558,3.5843,5.425
18:26:13:8930,1.9452,2.3903,1.3705,3.373
18:26:13:9010,1.2022,0.7258,0.1955,1.418
18:26:13:9140,-0.1851,-1.7203,0.0221,1.730
18:26:13:9220,-1.3423,-3.7917,0.0756,4.023
18:26:13:9380,-2.8749,-6.5249,0.2453,7.134
18:26:13:9420,-4.0848,-8.9034,0.4914,9.808
18:26:13:9530,-5.6907,-11.6307,1.1498,12.999
18:26:13:9630,-6.2310,-12.6961,1.7855,14.255
18:26:13:9730,-6.0507,-13.4636,2.0678,14.905
18:26:13:9810,-5.2495,-14.0306,1.7729,15.085
18:26:13:9930,-4.4299,-13.7481,1.3434,14.506
18:26:14:0010,-3.9682,-13.0286,0.1491,13.620
18:26:14:0120,-3.8135,-12.6333,-1.5713,13.290
18:26:14:0230,-3.7291,-12.3977,-2.5732,13.200
18:26:14:0340,-3.5451,-11.9731,-2.4786,12.731
18:26:14:0450,-3.7988,-11.7454,-1.5946,12.447
18:26:14:0520,-4.1257,-12.1127,-0.4763,12.805
18:26:14:0620,-4.6311,-11.8086,0.6680,12.702
18:26:14:0730,-5.4801,-11.0775,1.5939,12.461
18:26:14:0820,-5.5663,-10.9773,1.7750,12.435
18:26:14:0930,-5.8586,-10.3337,-0.0326,11.879
18:26:14:1019,-6.3301,-10.6648,-2.0464,12.570
18:26:14:1120,-6.1019,-10.2638,-3.7005,12.501
18:26:14:1220,-3.9229,-8.9483,-3.9049,10.522
18:26:14:1390,1.1843,-7.1287,-2.3228,7.591
18:26:14:1409,5.9340,-5.4170,0.6818,8.064
